trainer,fold_id,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,error_message
catboost,1,2025-01-01 14:00:00,2025-01-06 13:00:00,2025-01-06 14:00:00,2025-01-07 13:00:00,120,24,0.4166666666666667,0.25,0.375,0.3,0.35546875,
catboost,2,2025-01-02 14:00:00,2025-01-07 13:00:00,2025-01-07 14:00:00,2025-01-08 13:00:00,120,24,0.375,0.2777777777777778,0.7142857142857143,0.4,0.6554621848739495,
catboost,3,2025-01-03 14:00:00,2025-01-08 13:00:00,2025-01-08 14:00:00,2025-01-09 13:00:00,120,24,0.5416666666666666,0.375,0.3333333333333333,0.35294117647058826,0.6592592592592592,
