trainer,fold_id,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,error_message
baseline,1,2025-01-01 14:00:00,2025-01-06 13:00:00,2025-01-06 14:00:00,2025-01-07 13:00:00,120,24,0.5416666666666666,0.2,0.125,0.15384615384615385,0.3828125,
baseline,2,2025-01-02 14:00:00,2025-01-07 13:00:00,2025-01-07 14:00:00,2025-01-08 13:00:00,120,24,0.2916666666666667,0.2916666666666667,1.0,0.45161290322580644,0.7815126050420168,
baseline,3,2025-01-03 14:00:00,2025-01-08 13:00:00,2025-01-08 14:00:00,2025-01-09 13:00:00,120,24,0.5416666666666666,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6814814814814815,
