trainer,fold_id,train_start,train_end,test_start,test_end,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,error_message
dummy,1,2025-01-01 14:00:00,2025-01-06 13:00:00,2025-01-06 14:00:00,2025-01-07 13:00:00,120,24,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,
dummy,2,2025-01-02 14:00:00,2025-01-07 13:00:00,2025-01-07 14:00:00,2025-01-08 13:00:00,120,24,0.2916666666666667,0.2916666666666667,1.0,0.45161290322580644,0.5,
dummy,3,2025-01-03 14:00:00,2025-01-08 13:00:00,2025-01-08 14:00:00,2025-01-09 13:00:00,120,24,0.625,0.0,0.0,0.0,0.5,
